,NO,NO2,O3,NO_conc,NO2_conc,O3_conc,O3_mr,O3_ss_mr
NL00131,3.025167536231884,15.881684833024119,44.422803508771935,3.025167536231884,15.881684833024119,44.422803508771935,22.211401754385967,4.862664090047177
DEBY109,1.5179979315941519,6.904820814584143,62.90115027917326,1.5179979315941519,6.904820814584143,62.90115027917326,31.45057513958663,2.633239962384068
NL00418,7.819367379802163,28.562420616659,44.489490934449094,7.819367379802163,28.562420616659,44.489490934449094,22.244745467224547,6.636586275567847
